date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:34:24	25710/25710	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2011:34:23%20GMT	http://www.decor-art.com.pl/	./www.decor-art.com.pl/index/index.html	(from )
13:34:25	988/988	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.decor-art.com.pl/sites/default/files/xdecorart_favicon.gif.pagespeed.ic.yt-Dd2ZVkr.png	./www.decor-art.com.pl/sites/default/files/xdecorart_favicon.gif.pagespeed.ic.yt-Dd2ZVkr/index.png	(from http://www.decor-art.com.pl/)
13:34:25	46299/46299	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css	./www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81/index.css	(from http://www.decor-art.com.pl/)
13:34:26	716/716	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.decor-art.com.pl/sites/default/files/css/A.css_7d07a0352ec4fe459f0e0442e2c3f94a.css.pagespeed.cf.SnYi1xC7ZN.css	./www.decor-art.com.pl/sites/default/files/css/A.css_7d07a0352ec4fe459f0e0442e2c3f94a.css.pagespeed.cf.SnYi1xC7ZN/index.css	(from http://www.decor-art.com.pl/)
13:34:27	31089/31089	---M-Z	200	added ('OK')	application/javascript	etag:%227971-495e7a2134b00-gzip%22	http://www.decor-art.com.pl/misc/jquery.js?c	./www.decor-art.com.pl/misc/jquery/index.js	(from http://www.decor-art.com.pl/)
13:34:28	9834/9834	---M-Z	200	added ('OK')	application/javascript	etag:%22266a-495e7a20408c0-gzip%22	http://www.decor-art.com.pl/misc/drupal.js?c	./www.decor-art.com.pl/misc/drupal/index.js	(from http://www.decor-art.com.pl/)
13:34:29	1805/1805	---M-Z	200	added ('OK')	application/javascript	etag:%2270d-495e7a864b980-gzip%22	http://www.decor-art.com.pl/sites/default/files/languages/pl_7d04652f41d58c6492adccc6ac81c5b9.js?c	./www.decor-art.com.pl/sites/default/files/languages/pl_7d04652f41d58c6492adccc6ac81c5b9/index.js	(from http://www.decor-art.com.pl/)
13:34:30	45126/45126	---M-Z	200	added ('OK')	application/javascript	etag:%22b046-495e7bc2ea480-gzip%22	http://www.decor-art.com.pl/sites/all/modules/contrib/lightbox2/js/lightbox.js?c	./www.decor-art.com.pl/sites/all/modules/contrib/lightbox2/js/lightbox/index.js	(from http://www.decor-art.com.pl/)
13:34:31	3714/3714	---M-Z	200	added ('OK')	application/javascript	etag:%22e82-495e7c829a8c0-gzip%22	http://www.decor-art.com.pl/sites/all/modules/contrib/nice_menus/superfish/js/superfish.js?c	./www.decor-art.com.pl/sites/all/modules/contrib/nice_menus/superfish/js/superfish/index.js	(from http://www.decor-art.com.pl/)
13:34:32	1517/1517	---M-Z	200	added ('OK')	application/javascript	etag:%225ed-495e7c829a8c0-gzip%22	http://www.decor-art.com.pl/sites/all/modules/contrib/nice_menus/superfish/js/jquery.bgiframe.min.js?c	./www.decor-art.com.pl/sites/all/modules/contrib/nice_menus/superfish/js/jquery.bgiframe.min/index.js	(from http://www.decor-art.com.pl/)
13:34:33	1609/1609	---M-Z	200	added ('OK')	application/javascript	etag:%22649-495e7c829a8c0-gzip%22	http://www.decor-art.com.pl/sites/all/modules/contrib/nice_menus/superfish/js/jquery.hoverIntent.minified.js?c	./www.decor-art.com.pl/sites/all/modules/contrib/nice_menus/superfish/js/jquery.hoverIntent.minified/index.js	(from http://www.decor-art.com.pl/)
13:34:34	872/872	---M-Z	200	added ('OK')	application/javascript	etag:%22368-495e7ab6eec40-gzip%22	http://www.decor-art.com.pl/sites/all/modules/contrib/nice_menus/nice_menus.js?c	./www.decor-art.com.pl/sites/all/modules/contrib/nice_menus/nice_menus/index.js	(from http://www.decor-art.com.pl/)
